不能,0.003188,0.025448,
一时,0.059225,0.048808,
自己,0.156028,-0.115810,
听了,0.113265,0.064754,
不得,0.058885,0.013067,
说道,0.132888,-0.211780,
那里,0.165969,-0.108832,
我们,0.305172,0.437882,
只是,0.065779,-0.103975,
如今,0.119238,0.270803,
没有,0.161383,-0.146462,
不知,0.048464,0.015114,
就是,0.136893,-0.035416,
不过,0.030580,0.082751,
又不,0.045875,0.007389,
不敢,0.031144,0.022685,
所以,0.079450,0.046972,
也不,0.180280,-0.098394,
来了,0.067867,0.006782,
一面,0.040903,-0.027085,
说着,0.107972,0.022392,
只见,0.068565,-0.204531,
进来,0.163293,-0.113598,
两个,0.153095,0.138183,
一个,0.170457,0.286981,
出来,0.196275,-0.047857,
去了,0.072986,-0.011526,
这里,0.119413,-0.008683,
这样,0.111047,0.090419,
什么,0.408174,-0.308272,
见他,0.037987,-0.012125,
听见,0.166000,-0.228689,
起来,0.207939,-0.035357,
只得,0.052037,-0.065740,
还有,0.082750,0.053758,
都是,0.091266,0.080177,
下回分解,0.004069,-0.000080,
咱们,0.166206,0.207509,
的人,0.031678,0.017073,
你们,0.292436,0.375199,
不是,0.072070,-0.032222,
知道,0.244074,-0.095926,
这个,0.149830,0.016686,
叫他,0.071480,-0.081941,
怎么,0.248741,-0.260615,
还不,0.038726,-0.003340,
出去,0.100025,0.067341,
话说,0.013199,0.006179,
